skill_id,skill_ch_name,subskill_id,problem_type_id,problem_type_name,generator_key,has_generator,in_question_router,has_skill_wrapper,web_smoke_tested,coverage_status,next_action,notes
vh_數學B4_BinomialCoefficientIdentities,二項式係數性質,b4_ch1_binomial_id_01,binomial_coefficient_sum,二項式係數和,b4.binomial.binomial_coefficient_sum,no,no,no,no,planned_only,補 generator,review_required
vh_數學B4_BinomialTheorem,二項式定理,b4_ch1_binomial_expand_01,binomial_expansion_basic,二項式展開,b4.binomial.binomial_expansion_basic,no,no,no,no,planned_only,補 generator,
vh_數學B4_BinomialTheorem,二項式定理,b4_ch1_binomial_solve_n_03,binomial_equation_solve_n,已知組合數求參數,b4.binomial.binomial_equation_solve_n,no,no,no,no,planned_only,補 generator,review_required
vh_數學B4_BinomialTheorem,二項式定理,b4_ch1_binomial_coeff_02,binomial_specific_term_coefficient,指定項係數,b4.binomial.binomial_specific_term_coefficient,no,no,no,no,planned_only,補 generator,review_required
vh_數學B4_PascalTriangle,巴斯卡三角形,b4_ch1_pascal_tri_01,pascal_triangle_derivation,巴斯卡三角形推導,b4.binomial.pascal_triangle_derivation,no,no,no,no,excluded,暫緩,manual_review
vh_數學B4_Combination,組合,b4_ch1_comb_basic_01,combination_basic_selection,組合基本選取,b4.combination.combination_basic_selection,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,
vh_數學B4_CombinationDefinition,組合的定義與計算,b4_ch1_comb_def_01,combination_definition_basic,組合定義基本計算,b4.combination.combination_definition_basic,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,
vh_數學B4_CombinationApplications,組合的應用,b4_ch1_comb_app_geom_02,combination_polygon_count,多邊形對角線與三角形 / 正多邊形對角線與三角形計數,b4.combination.combination_polygon_count,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,
vh_數學B4_CombinationApplications,組合的應用,b4_ch1_comb_app_item_03,combination_group_selection,分類組合乘法,b4.combination.combination_group_selection,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,Phase4E-7B reconciliation（router+wrapper；/practice/vh_數學B4_CombinationApplications smoke 見 Phase4D §7）
vh_數學B4_CombinationProperties,組合的性質,b4_ch1_comb_prop_01,combination_properties_simplification,組合性質化簡,b4.combination.combination_properties_simplification,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,
vh_數學B4_CombinationApplications,組合的應用,b4_ch1_comb_app_people_01,combination_required_excluded_person,指定人物必選或不可選,b4.combination.combination_required_excluded_person,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,
vh_數學B4_Combination,組合,b4_ch1_comb_restrict_02,combination_restricted_selection,組合特定數量限制選取,b4.combination.combination_restricted_selection,yes,yes,yes,yes,runtime_ready,維持 / 後續納入 adaptive,Phase 4E-12C
