skill_id,skill_en_name,skill_ch_name,description,input_type,gemini_prompt,consecutive_correct_required,is_active,order_index
num_line_basic,Number Line & Coordinates,數線基礎與坐標,複習數線的概念，認識相反數，並標定有理數坐標。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導學生在數線上標示點的正確方法。,3,TRUE,10
dist_formula_1d,1D Distance Formula,數線上的距離公式,熟練使用數線上的距離公式 $\overline{AB}=,text,a-b,3,TRUE,20
abs_val_eq,Absolute Value Equations,絕對值方程式,熟練解 $,text,x,3,TRUE,30
abs_val_ineq_lt,Abs. Value Inequality (Less Than),絕對值不等式 (<),熟練解 $,x,3,TRUE,40
abs_val_ineq_gt,Abs. Value Inequality (Greater Than),絕對值不等式 (?),熟練解 $,x,3,TRUE,50
quadrant_points,Quadrants and Coordinates,象限與點坐標,"識別直角坐標平面上的四個象限，並判斷點 (a,b) 所在的象限。",handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生座標軸上的點不屬於任一象限。,3,TRUE,60
dist_formula_2d,2D Distance Formula,平面上的距離公式,熟練計算平面上兩點間距離 AB=(x2??x1?)2+(y2??y1?)2?。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，引導學生利用畢氏定理記憶並使用平面距離公式。,3,TRUE,70
midpoint_formula,Midpoint Formula,中點坐標公式,"熟練使用中點坐標公式 P(2x1?+x2??,2y1?+y2??)。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒中點坐標是兩點坐標的平均值。,3,TRUE,80
section_formula,Section Formula,內分點坐標公式,"熟練使用內分點坐標公式 P(m+nnx1?+mx2??,m+nny1?+my2??)。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導內分點公式的交叉相乘和除以比例和的規律。,3,TRUE,90
centroid_formula,Triangle Centroid Formula,三角形重心坐標,"熟練計算三角形重心坐標 G(3x1?+x2?+x3??,3y1?+y2?+y3??)。",text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明重心坐標是三個頂點坐標的平均值。,3,TRUE,100
function_def,Function Definition,函數的定義,理解函數的定義：「對於每一個 x 值，都恰有一個 y 值與之對應」，並認識自變數 x 和應變數 y。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導函數的定義，並強調「恰有一個」的單一對應性。,3,TRUE,110
linear_func_type,Linear Function Types,線型函數分類與圖形,區分常數函數 y=b (a=0) 和一次函數 y=ax+b (a=0)，並判斷其圖形為水平線或斜直線。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明線型函數 y=ax+b 的圖形為一直線。,3,TRUE,120
quad_func_prop,Quadratic Function Properties,二次函數圖形特性,根據 y=ax2+bx+c 的 a 值判斷開口方向，並識別對稱軸 (x=?b/2a) 與頂點坐標。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒 a>0 開口向上 (有最小值)， a<0 開口向下 (有最大值)。,3,TRUE,130
completing_square,Completing the Square,二次函數配方法,熟練使用配方法，將二次函數一般式 y=ax2+bx+c 轉為頂點式 y=a(x?h)2+k。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導配方法的標準步驟，特別是提出 a 和加減 (b/2a)2 項的技巧。,3,TRUE,140
vertex_max_min,Vertex Form & Max/Min Value,頂點式與極值計算,根據頂點式，判斷並求出函數的最大值或最小值 k。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明極值發生在 x=h 處，極值大小為 k。,3,TRUE,150
cross_multiplication,Cross-Multiplication Factoring,十字交乘法,複習十字交乘法，熟練將一元二次多項式分解為兩個一次因式。,text,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，教導使用十字交乘法檢查並分解二次式。,3,TRUE,160
quad_ineq_factorable,Factorable Quadratic Inequality,可因式分解之二次不等式,針對 ax2+bx+c>0 或 <0 且可因式分解的情況，搭配圖形找出解集。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，提醒學生在 D>0 時，「大於取兩邊、小於取中間」的解題原則。,3,TRUE,170
quad_ineq_discriminant,Quadratic Inequality by Discriminant,判別式與二次不等式解,針對判別式 D?0 的情況，根據圖形判斷不等式的解集。,handwriting,分析學生答案：{user_answer}，正確答案：{correct_answer}，如果錯誤，說明當 D?0 且 a>0 時，不等式 ax2+bx+c?0 的解通常為所有實數。,3,TRUE,180
