formula_index,location,document_paragraph,context,source_object,source_formula_decoded_now,converted_formula_in_existing_docx,diagnostic_normalized_source,diagnostic_normalized_converted,mismatch_reason,current_decoder_valid,current_decoder_error
1,"{'block_index': 1, 'paragraph_index': 1, 'table_index': None, 'row': None, 'col': None, 'run_index': 11, 'in_table_cell': False}",2,▲圖1▲圖1如圖1，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，利用上述條件，如何求得A、B兩棟飯店之間的直線距離呢？,word/embeddings/oleObject1.bin,$  {\overline{ CA }} =2\sqrt[] { 2 } $,[MATH_PARSE_FAILED_1],{\overline{ CA }} =2\sqrt[] { 2 },[MATH_PARSE_FAILED_1],conversion_failure_placeholder; historical per-object error unavailable,True,
2,"{'block_index': 1, 'paragraph_index': 1, 'table_index': None, 'row': None, 'col': None, 'run_index': 13, 'in_table_cell': False}",2,▲圖1▲圖1如圖1，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，利用上述條件，如何求得A、B兩棟飯店之間的直線距離呢？,word/embeddings/oleObject2.bin,$  {\overline{ CB }} =4 $,[MATH_PARSE_FAILED_2],{\overline{ CB }} =4,[MATH_PARSE_FAILED_2],conversion_failure_placeholder; historical per-object error unavailable,True,
3,"{'block_index': 1, 'paragraph_index': 1, 'table_index': None, 'row': None, 'col': None, 'run_index': 15, 'in_table_cell': False}",2,▲圖1▲圖1如圖1，國外某一湖泊，建商想在湖泊旁蓋A、B兩棟度假飯店，今在湖之遠處C點，測得[MathType OLE]公里、[MathType OLE]公里，且[MathType OLE]，利用上述條件，如何求得A、B兩棟飯店之間的直線距離呢？,word/embeddings/oleObject3.bin,$ \angle ACB=135{}^\circ  $,[MATH_PARSE_FAILED_3],\angle ACB=135{}^\circ,[MATH_PARSE_FAILED_3],conversion_failure_placeholder; historical per-object error unavailable,True,
4,"{'block_index': 4, 'paragraph_index': 5, 'table_index': 0, 'row': 1, 'col': 0, 'run_index': 1, 'in_table_cell': True}",8,三角形的面積公式是[MathType OLE](底[MathType OLE]高)，這是已知底和高的情況下，如果只知道△ABC的兩邊長及其夾角，該如何計算△ABC的面積呢？,word/embeddings/oleObject4.bin,$ \frac { 1 } { 2 } $,[MATH_PARSE_FAILED_4],\frac { 1 } { 2 },[MATH_PARSE_FAILED_4],conversion_failure_placeholder; historical per-object error unavailable,True,
5,"{'block_index': 4, 'paragraph_index': 5, 'table_index': 0, 'row': 1, 'col': 0, 'run_index': 4, 'in_table_cell': True}",8,三角形的面積公式是[MathType OLE](底[MathType OLE]高)，這是已知底和高的情況下，如果只知道△ABC的兩邊長及其夾角，該如何計算△ABC的面積呢？,word/embeddings/oleObject5.bin,$ \times  $,[MATH_PARSE_FAILED_5],\times,[MATH_PARSE_FAILED_5],conversion_failure_placeholder; historical per-object error unavailable,True,
6,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 1, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject6.bin,$ \Delta  $,[MATH_PARSE_FAILED_6],\Delta,[MATH_PARSE_FAILED_6],conversion_failure_placeholder; historical per-object error unavailable,True,
7,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 12, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject7.bin,$ \angle A $,[MATH_PARSE_FAILED_7],\angle A,[MATH_PARSE_FAILED_7],conversion_failure_placeholder; historical per-object error unavailable,True,
8,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 14, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject8.bin,$ \angle B $,[MATH_PARSE_FAILED_8],\angle B,[MATH_PARSE_FAILED_8],conversion_failure_placeholder; historical per-object error unavailable,True,
9,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 16, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject9.bin,$ \angle C $,[MATH_PARSE_FAILED_9],\angle C,[MATH_PARSE_FAILED_9],conversion_failure_placeholder; historical per-object error unavailable,True,
10,"{'block_index': 5, 'paragraph_index': 6, 'table_index': None, 'row': None, 'col': None, 'run_index': 21, 'in_table_cell': False}",9,為了方便討論，設[MathType OLE]表示△ABC的面積，a、b、c分別表示[MathType OLE]、[MathType OLE]、[MathType OLE]之對邊長，令△ABC中[MathType OLE]上的高為[MathType OLE]，可分三種情形討論如下：,word/embeddings/oleObject10.bin,$  {\overline{ AB }}  $,[MATH_PARSE_FAILED_10],{\overline{ AB }},[MATH_PARSE_FAILED_10],conversion_failure_placeholder; historical per-object error unavailable,True,
